日期,成本类型,项目,金额,栏区,责任组,备注
2024-06-28,维修,设备维修,1875.76,栏区7,B组,季度性防疫物资采购
2024-06-24,转运,饲料运输,3262.05,栏区6,A组,
2024-06-23,人工,兽医,6394.45,栏区3,A组,应急维修，非计划内支出
2024-06-21,转运,废弃物处理,4179.81,栏区3,C组,高温季节降温设施运行费用增加
2024-06-15,人工,清洁工,7228.31,栏区5,A组,雨季导致运输延误，产生额外费用
2024-06-14,维修,工具更换,609.08,栏区2,B组,设备老化需更换零件，费用偏高
2024-06-12,饲料,豆粕,10696.85,栏区3,A组,应急维修，非计划内支出
2024-06-12,饲料,麸皮,11040.34,栏区7,A组,
2024-06-12,饲料,豆粕,7505.12,栏区1,C组,雨季导致运输延误，产生额外费用
2024-06-11,人工,技术员,5184.51,栏区5,D组,设备定期保养维护
2024-06-11,饲料,麸皮,9096.91,栏区1,B组,高温季节降温设施运行费用增加
2024-06-09,转运,饲料运输,4452.92,栏区7,B组,新进人员培训费用
2024-06-09,饲料,预混料,5084.24,栏区8,D组,临时加班人员费用
2024-06-09,饲料,预混料,9951.49,栏区1,A组,
2024-06-08,饲料,麸皮,5490.17,栏区1,B组,设备老化需更换零件，费用偏高
2024-06-08,饲料,麸皮,4453.19,栏区3,D组,
2024-06-07,维修,栏舍维修,5718.38,栏区8,B组,
2024-06-05,饲料,玉米,13842.05,栏区3,D组,设备老化需更换零件，费用偏高
2024-06-03,饲料,玉米,3199.78,栏区7,D组,栏舍消毒专项费用
2024-05-26,人工,技术员,13967.94,栏区1,D组,
2024-05-26,人工,兽医,11517.68,栏区8,D组,临时加班人员费用
2024-05-25,饲料,预混料,5969.73,栏区8,A组,雨季导致运输延误，产生额外费用
2024-05-24,人工,饲养员,17254.17,栏区2,A组,价格较上月下降，批量采购优惠
2024-05-24,维修,设备维修,3879.08,栏区3,A组,
2024-05-22,维修,水电维修,2022.96,栏区3,C组,正常月度开支
2024-05-19,转运,饲料运输,5507.99,栏区7,D组,
2024-05-15,饲料,麸皮,12272.28,栏区7,B组,新进人员培训费用
2024-05-14,维修,设备维修,3878.74,栏区1,D组,
2024-05-14,转运,物资运输,4219.59,栏区3,C组,高温季节降温设施运行费用增加
2024-05-13,人工,兽医,12294.07,栏区7,B组,
2024-05-12,饲料,玉米,6627.89,栏区6,B组,本月价格波动较大，供应商提价5%
2024-05-11,饲料,预混料,6891.37,栏区5,D组,
